Run;MethodName;Duration(ms)
130;GetParentsWithChildren;1.6990
130;UpdateParentWithChildren;8.9970
130;DeleteParentWithChildren;14.2188
131;InsertParentWithChildren;14.8871
131;GetParentsWithChildren;1.5664
131;UpdateParentWithChildren;17.6487
131;DeleteParentWithChildren;19.7561
132;InsertParentWithChildren;13.8041
132;GetParentsWithChildren;1.7573
132;UpdateParentWithChildren;8.6798
132;DeleteParentWithChildren;14.9648
133;InsertParentWithChildren;13.7544
133;GetParentsWithChildren;1.6751
133;UpdateParentWithChildren;17.0840
133;DeleteParentWithChildren;25.1047
134;InsertParentWithChildren;24.3060
134;GetParentsWithChildren;1.7856
134;UpdateParentWithChildren;23.8496
134;DeleteParentWithChildren;24.5039
135;InsertParentWithChildren;9.4381
135;GetParentsWithChildren;1.6384
135;UpdateParentWithChildren;23.0680
135;DeleteParentWithChildren;24.6090
136;InsertParentWithChildren;8.8037
136;GetParentsWithChildren;1.8856
136;UpdateParentWithChildren;22.3262
136;DeleteParentWithChildren;23.9108
137;InsertParentWithChildren;47.2339
137;GetParentsWithChildren;1.7637
137;UpdateParentWithChildren;23.4863
137;DeleteParentWithChildren;19.3626
138;InsertParentWithChildren;15.4290
138;GetParentsWithChildren;1.8364
138;UpdateParentWithChildren;17.2281
138;DeleteParentWithChildren;11.5232
139;InsertParentWithChildren;13.6625
139;GetParentsWithChildren;1.6573
139;UpdateParentWithChildren;18.3335
139;DeleteParentWithChildren;16.3146
140;InsertParentWithChildren;14.0854
140;GetParentsWithChildren;1.7096
140;UpdateParentWithChildren;17.9142
140;DeleteParentWithChildren;24.1282
141;InsertParentWithChildren;20.2255
141;GetParentsWithChildren;1.6493
141;UpdateParentWithChildren;54.0541
141;DeleteParentWithChildren;24.7471
142;InsertParentWithChildren;23.5044
142;GetParentsWithChildren;1.8138
142;UpdateParentWithChildren;23.2680
142;DeleteParentWithChildren;23.4600
143;InsertParentWithChildren;23.5684
143;GetParentsWithChildren;1.6763
143;UpdateParentWithChildren;23.3796
143;DeleteParentWithChildren;10.2243
144;InsertParentWithChildren;22.2748
144;GetParentsWithChildren;1.5669
144;UpdateParentWithChildren;14.0263
144;DeleteParentWithChildren;14.8216
145;InsertParentWithChildren;16.6640
145;GetParentsWithChildren;1.7574
145;UpdateParentWithChildren;17.0843
145;DeleteParentWithChildren;15.0955
146;InsertParentWithChildren;12.9127
146;GetParentsWithChildren;1.8019
146;UpdateParentWithChildren;17.4392
146;DeleteParentWithChildren;44.0004
147;InsertParentWithChildren;10.6026
147;GetParentsWithChildren;1.9210
147;UpdateParentWithChildren;19.8643
147;DeleteParentWithChildren;21.3073
148;InsertParentWithChildren;17.3051
148;GetParentsWithChildren;1.6748
148;UpdateParentWithChildren;19.5748
148;DeleteParentWithChildren;23.1375
149;InsertParentWithChildren;21.1860
149;GetParentsWithChildren;1.5607
149;UpdateParentWithChildren;20.6802
149;DeleteParentWithChildren;22.2982
150;InsertParentWithChildren;9.8096
150;GetParentsWithChildren;1.5255
150;UpdateParentWithChildren;20.3448
150;DeleteParentWithChildren;22.5458
151;InsertParentWithChildren;21.9915
151;GetParentsWithChildren;1.9430
151;UpdateParentWithChildren;19.6233
151;DeleteParentWithChildren;22.2781
152;InsertParentWithChildren;49.6862
152;GetParentsWithChildren;1.4951
152;UpdateParentWithChildren;21.2845
152;DeleteParentWithChildren;22.6114
153;InsertParentWithChildren;8.8942
153;GetParentsWithChildren;1.9960
